Location,Building Number,Gas Meter Asset #,Boiler Asset #,Boiler Type,Boiler Service Level,Date Serviced,Boiler Condition Rating,Boiler Manufacture Year,Boiler Age,Boiler Life Expectancy,Boiler Heating Capacity (kW),Gas Energy Comsumption Gas Per Annum- Measured 2019(GJ),Gas CO2 Emissions Per Annum- Measured (kg),Chiller Full Load COP Est.,Cooling Capacity,Current Chiller Input Electrical Peak Future (kW),Boiler Input Electrical Peak current (kW),Heat Pump Input Electrical Peak Future (kW),HHW feed temperature requirements,Net Electrical Load Change considering diversity between Chiller & heat Pump Usage,Proposed Thermal Hub,,Hub maths,Approximate Building Timeschedule,Can timeschedule be modified to save energy?,can load shedding or other load manipulation be utilised for buildings central heating and cooling systems?,Can space temperature setpoints be adjusted remotely in realtime,Does the building have afterhours push buttons
RSES Jaeger 1-4,61,446848,412450,Force Draft,Silver,44237,3,2006 TNAR 600,15 Years,30 Years,600,3857.305,198238.4759,3,350,116.6666667,2,250,80,383.3333333,A,383.3333333,0,,,,,
RSES Jaeger 1-4,61,446848,412451,Force Draft,Silver,44237,3,2006 TNAR 600,16 Years,30 Years,600,,,,,,2,250,80,,,,0,,,,,
RSES Jaeger 7,125,446848,489263,Condensing Boiler,Silver,44238,4,2015 Rendamax,6 Years,15 Years,150,,,0,0,0,2,62.5,80,62.5,A,62.5,0,,,,,
GJ Yeend Wing,132A,446848,448053,Force Draft,Silver,44238,4,2012 TNAR 500,9 Years,30 Years,200,2594.388,133333.3825,3,450,150,2,83.33333333,80,-66.66666667,E,-66.66666667,0,,,,,
Crawford School of Economics,132,451467,451835,Force Draft,Silver,44237,4,2010 TNAR 400,12 Years,30 Years,400,,,,,,2,166.6666667,80,113.3333333,E,113.3333333,0,,,,,
Crawford School of Economics,132,451467,451834,Force Draft,Silver,44237,4,2010 TNAR 400,12 Years,30 Years,400,,,,,,2,166.6666667,80,,,,0,,,,,
Jaeger 5,113,NA,450439,Condensing Boiler,Bronze,44280,4,2016 Sime,5 Years,10 Years,34,0,0,3,55,18.33333333,2,14.16666667,80,10,A,10,0,,,,,
Jaeger 5,113,NA,450438,Condensing Boiler,Bronze,44280,4,2016 Sime,5 Years,10 Years,34,,,,,,2,14.16666667,80,,,,0,,,,,
University House,1,446843,454639,Condensing Boiler,Silver,NO WO,4,2009 Rendamax,11 Years,15 Years,301,5711.004,293505.6286,0,0,0,2,125.4166667,80,250.8333333,No,250.8333333,250.8333333,,,,,
University House,1,446843,454638,Condensing Boiler,Silver,NO WO,4,2009 Rendamax,11 Years,15 Years,301,,,,,,2,125.4166667,80,,,,0,,,,,
Anthony Low ,124,446830,454636,Force Draft,Silver,44238,4,2011 TNAR 350,10 Years,30 Years,350,711.693,36576.03835,3,350,116.6666667,2,145.8333333,75,29.16666667,B,29.16666667,0,,,,,
RSES Jaeger 8,142,490432,454059,Rendamax,Silver,44237,4,2011 Rendamax,10 Years,15 Years,145,473.811,24350.56872,3,120,40,2,60.41666667,80,20.41666667,A,20.41666667,0,,,,,
N Block,63T1,446833,412244,Atmospheric Boiler,Silver,44236,2,2003 Raypak,18 Years,15 Years,44,85.77,4407.97761,0,0,0,2,18.33333333,80,18.33333333,No,18.33333333,18.33333333,,,,,
Florey ,54,446836,491093,Condensing Boiler,Silver,44238,4,2015 Eurogen,6 Years,20 Years,430,3311.825,170204.6222,3,650,216.6666667,2,179.1666667,80,141.6666667,B,141.6666667,0,,,,,
Florey ,54,446836,491092,Condensing Boiler,Silver,44238,4,2015 Eurogen,6 Years,20 Years,430,,,,,,2,179.1666667,80,,,,0,,,,,
Wes Whitten,133,446836,447100,Steam Boiler,Platinum,44225,4,2009 VS500,12 Years,20 Years,500,1953.86,100414.727,3,105,35,5,208.3333333,140,315,C,315,0,,,,,
Wes Whitten,133,446836,447102,Atmospheric Boiler,Gold,44228,3,2009 Ferroli,12 Years,15 Years,170,,,,,,,70.83333333,80,,,,0,,,,,
Wes Whitten,133,446836,447101,Atmospheric Boiler,Gold,44228,3,2009 Ferroli,12 Years,15 Years,170,,,,,,,70.83333333,80,,,,0,,,,,
RN Robertson,46,446822,439624,Steam Boiler,Platinum,44228,4,2000 VS200,15 Years,20 Years,200,1392,71539.056,0,0,0,2,83.33333333,140,83.33333333,C,83.33333333,0,,,,,
RN Robertson Glasshouse,46F,490448,-,No Boiler,-,,-,-,-,-,-,2025,71539.056,0,0,0,-,-,-,,C,,0,,,,,
RSB CO2 Glasshouse,46H,446823,-,No Boiler,-,,-,-,-,-,-,,,0,0,0,-,-,-,,C,,0,,,,,
RSB CO2 Glasshouse sub meter,46H,446824,-,No Boiler,-,,-,-,-,-,-,,,0,0,0,-,-,-,,C,,0,,,,,
Linneaus Building,134,490436,442398,Steam Boiler,Platinum,44223,4,2009 VS200,12 Years,20 Years,200,1678.463,86261.24896,0,0,0,2,83.33333333,140,83.33333333,C,83.33333333,0,,,,,
Linneaus Building,134,490436,1442397,Steam Boiler,Platinum,44224,4,2009 VS200,12 Years,20 Years,200,,,0,0,0,2,83.33333333,140,83.33333333,,83.33333333,0,,,,,
JCSMR Stage 1,131,446835,433128,Force Draft,Gold,44228,4,2005 Presha,16 Years,30 Years,150,29427.143,1512349.16,3,2600,866.6666667,2,62.5,80,341.6666667,B,341.6666667,0,,,,,
JCSMR Stage 2,131,446835,404755,Steam Boiler,Platinum,44223,4,2008 Fab250,13 Years,20 Years,650,,,,,,5,270.8333333,140,,,,0,,,,,
JCSMR Stage 2,131,446835,404756,Steam Boiler,Platinum,44225,4,2008 Fab250,13 Years,20 Years,650,,,,,,5,270.8333333,140,,,,0,,,,,
JCSMR Stage 2,131,446835,404757,Force Draft,Platinum,44224,4,2007 TNAR 1450,14 Years,30 Years,1450,,,,,,2,604.1666667,80,,,,0,,,,,
Central Plant,135,449979,467075,Force Draft,Gold,44237,4,2011 Enviropak,10 Years,30 Years,2000,29315.513,1506612.16,5,3400,680,2,833.3333333,80,1820,C,1820,0,,,,,
Central Plant,135,449979,467074,Force Draft,Gold,44237,4,2011 Enviropak,10 Years,30 Years,2000,,,,,,3,833.3333333,80,,,,0,,,,,
Central Plant,135,449979,467073,Force Draft,Gold,44237,4,2011 Enviropak,10 Years,30 Years,2000,,,,,,3,833.3333333,80,,,,0,,,,,
Hanna Neumann,145,490443,528562,Condensing Boiler,Silver,44232,4,2018 Rendamax,3 Years,15 Years,380,12219,627971.067,5.3,900,169.8113208,3,158.3333333,50,146.8553459,D,146.8553459,0,,,,,
Hanna Neumann,145,490443,528563,Condensing Boiler,Silver,44232,4,2018 Rendamax,3 Years,15 Years,380,,,,,,3,158.3333333,50,,,,0,,,,,
PAP Moran,26B,446918,450432,Condensing Boiler,Silver,44232,4,2017 Meridian,4 Years,15 Years,123,214.155,11006.06792,0,0,0,2,51.25,80,51.25,I,51.25,0,,,,,
Birch Building,35,490434,-,Condensing Boiler,Silver,44260,5,2021 Rendemax,1,25 Years,540,6500,334054.5,5,1200,240,2,225,45,435,D,435,0,,,,,
Birch Building,35,490434,-,Condensing Boiler,Silver,44260,5,2021 Rendemax,1,25 Years,540,,,,,,2,225,45,,,,0,,,,,
Birch Building,35,490434,-,Condensing Boiler,Silver,44260,5,2021 Rendemax,1,25 Years,540,,,,,,2,225,45,,,,0,,,,,
Kambri,156,-,-,Condensing Boiler,Silver,NA,5,2018 Automatic Heating,3,22 years,1000,23126.566,1188543.606,5,2800,560,2,416.6666667,80,690,I,690,0,,,,,
Kambri,156,-,-,Condensing Boiler,Silver,NA,5,2018 Automatic Heating,3,22 years,1000,,,,,,2,416.6666667,,,,,0,,,,,
Kambri,156,-,-,Condensing Boiler,Silver,NA,5,2018 Automatic Heating,3,22 years,1000,,,,,,2,416.6666667,,,,,0,,,,,
RSSS,146,490435,-,Condensing Boiler,Silver,NA,5,2019 Rendemax,2,23 years,580,6750,346902.75,5.3,1250,235.8490566,2,241.6666667,55,247.4842767,H,247.4842767,0,,,,,
RSSS,146,490435,-,Condensing Boiler,Silver,NA,5,2019 Rendemax,2,23 years,580,,,,,,2,241.6666667,,,,,0,,,,,
Physics Stage 1,-,490435,-,Modular Condensing Boilers,Gold,NA,5,2020 Automatic Heating,1,24 years,690,11000,565323,5.3,1400,264.1509434,2,287.5,55,310.8490566,D,310.8490566,0,,,,,
Physics Stage 1,-,490435,-,Modular Condensing Boilers,Gold,NA,5,2020 Automatic Heating,1,24 years,690,,,,,,2,287.5,,,,,0,,,,,
David Cocking Building,19A,490438,-,No Boiler,-,-,-,-,-,-,-,479,24617.247,0,0,0,NA,NA,NA,,No,,0,,,,,
David Cocking Building café,19,446815,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,0,,,,,
David Cocking Building,19,446816,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,0,,,,,
Bruce Hall,163,446816,-,Condensing Boiler,NA,NA,NA,2018 Victrix,3,NA,118,1081,55555.833,0,0,0,2,49.16666667,60,590,No,49.16666667,590,,,,,
Bruce Hall,163,446816,-,Condensing Boiler,NA,NA,NA,2018 Victrix,3,NA,118,,,,,,2,49.16666667,,,,49.16666667,0,,,,,
Bruce Hall,163,446816,-,Condensing Boiler,NA,NA,NA,2018 Victrix,3,NA,118,,,,,,2,49.16666667,,,,49.16666667,0,,,,,
Bruce Hall,163,446816,-,Condensing Boiler,NA,NA,NA,2018 Victrix,3,NA,118,,,,,,2,49.16666667,,,,49.16666667,0,,,,,
Bruce Hall,163,446816,-,Condensing Boiler,NA,NA,NA,2018 Victrix,3,NA,118,,,,,,2,49.16666667,,,,49.16666667,0,,,,,
Bruce Hall,163,446816,-,Condensing Boiler,NA,NA,NA,2018 Victrix,3,NA,118,,,,,,2,49.16666667,,,,49.16666667,0,,,,,
Wright Hall,162,446816,-,Condensing Boiler,NA,NA,NA,2018 Victrix,3,NA,118,,,,,,2,49.16666667,,,No,49.16666667,0,,,,,
Wright Hall,162,446816,-,Condensing Boiler,NA,NA,NA,2018 Victrix,3,NA,118,,,,,,2,49.16666667,,,,49.16666667,0,,,,,
Wright Hall,162,446816,-,Condensing Boiler,NA,NA,NA,2018 Victrix,3,NA,118,,,,,,2,49.16666667,,,,49.16666667,0,,,,,
Wright Hall,162,446816,-,Condensing Boiler,NA,NA,NA,2018 Victrix,3,NA,118,,,,,,2,49.16666667,,,,49.16666667,0,,,,,
Wright Hall,162,446816,-,Condensing Boiler,NA,NA,NA,2018 Victrix,3,NA,118,,,,,,2,49.16666667,,,,49.16666667,0,,,,,
Wright Hall,162,446816,-,Condensing Boiler,NA,NA,NA,2018 Victrix,3,NA,118,,,,,,2,49.16666667,,,,49.16666667,0,,,,,
Packard Wing,40A,446788,-,No Boiler,-,-,-,-,-,-,-,0,0,0,0,0,NA,NA,NA,,No,,0,,,,,
Burton & Garran Hall - Clunies Ross,49,446795,,Atmospheric Boiler,NA,NA,NA,2009 SIME,12,NA,125,6776.253,348251.9704,0,0,0,2,52.08333333,80,479.1666667,No,52.08333333,479.1666667,,,,,
Burton & Garran Hall - Clunies Ross,49,446795,,Atmospheric Boiler,NA,NA,NA,2009 SIME,12,NA,125,,,,,,2,52.08333333,,,,52.08333333,0,,,,,
Burton & Garran Hall - Clunies Ross,49,446795,,Atmospheric Boiler,NA,NA,NA,2009 SIME,12,NA,125,,,,,,2,52.08333333,,,,52.08333333,0,,,,,
Burton & Garran Hall - Clunies Ross,49,446795,,Atmospheric Boiler,NA,NA,NA,2009 SIME,12,NA,125,,,,,,2,52.08333333,,,,52.08333333,0,,,,,
Burton & Garran Hall - Clunies Ross,49,446795,,Atmospheric Boiler,NA,NA,NA,2009 SIME,12,NA,125,,,,,,2,52.08333333,,,,52.08333333,0,,,,,
Burton & Garran Hall - Clunies Ross,49,446795,,Atmospheric Boiler,NA,NA,NA,2009 SIME,12,NA,125,,,,,,2,52.08333333,,,,52.08333333,0,,,,,
Burton & Garran Hall - Clunies Ross,49,446795,,Atmospheric Boiler,NA,NA,NA,2009 SIME,12,NA,125,,,,,,2,52.08333333,,,,52.08333333,0,,,,,
Burton & Garran Hall - Clunies Ross,49,446795,,Atmospheric Boiler,NA,NA,NA,2009 SIME,12,NA,125,,,,,,2,52.08333333,,,,52.08333333,0,,,,,
Burton & Garran Hall - Clunies Ross,49,446795,,Atmospheric Boiler,NA,NA,NA,2009 SIME,12,NA,150,,,,,,2,62.5,,,,62.5,0,,,,,
SA8,-,446795,-,Condensing Boilers,NA,NA,NA,Moorea 610E,0,30 years,630,7000,359751,,,,5,525,80,525,No,525,525,,,,,
SA8,-,446795,-,Condensing Boilers,NA,NA,NA,Moorea 610E,0,30 years,630,,,,,,,,,,,,0,,,,,
Foresty Frank Fenner Building,48,490444,-,No Boiler,-,-,-,-,-,-,-,806,41422.758,0,0,0,NA,NA,NA,,C,,0,,,,,
D.A. Brown,47,446797,,,,,,,,,,0,0,0,0,0,,,,,C,,0,,,,,
Chemistry Building,137,490441,-,No Boiler,-,-,-,-,-,-,-,1073.464,0,0,0,0,NA,NA,NA,,C,,0,,,,,
