energy_in,avg_temp,temp_sp,temp_out,bld_hrs
37.95,19.63,22.5,7.68,1
47.01,19.71,22.5,8.27,1
43.99,19.85,22.5,8.75,1
37.98,19.94,22.5,9.18,1
42.03,20.07,22.5,9.79,1
35.07,20.18,22.5,10.4,1
33.97,20.23,22.5,10.84,1
34,20.3,22.5,11.04,1
30.02,20.26,22.5,11.19,1
29.92,20.28,22.5,11.41,1
30.02,20.23,22.5,11.78,1
26.96,20.3,22.5,11.91,1
28.06,20.3,22.5,12.25,1
30.95,20.25,22.5,12.32,1
30.07,20.32,22.5,12.54,1
27.01,20.3,22.5,12.69,1
29,20.33,22.5,12.97,1
26.99,20.36,22.5,12.88,1
27.01,20.37,22.5,13.23,1
21.97,20.35,22.5,13.36,1
11.99,20.34,22.5,13.45,1
11.96,20.35,22.5,13.34,1
13.05,20.33,22.5,13.71,1
11.96,20.38,22.5,13.75,1
13.08,20.33,22.5,14.15,1
10.01,20.26,22.5,14.21,1
13.91,20.23,22.5,13.93,1
17.08,20.26,22.5,13.06,1
20.02,20.19,22.5,12.23,1
23.97,20.16,22.5,11.47,1
26.02,20.09,22.5,11.06,0
31.02,20.07,22.5,10.77,0
31.95,20.03,22.5,10.38,0
31.95,19.94,22.5,10.36,0
36.01,19.93,22.5,9.9,0
36.1,19.93,22.5,9.44,0
40.88,19.91,22.5,8.99,0
38.05,19.87,22.5,8.58,0
36.98,19.8,22.5,8.21,0
39.03,19.81,22.5,7.94,0
49.04,19.86,22.5,7.81,0
34.98,19.9,22.5,7.55,0
38.02,19.91,22.5,7.05,0
36.93,19.91,22.5,6.7,0
44.96,20.04,22.5,6.44,0
36.01,20.16,22.5,6.29,0
34.05,20.18,22.5,6.27,0
31.97,20.2,22.5,6.18,0
25.97,20.19,22.5,6.03,0
7.05,20.01,22.5,5.72,0
7.03,19.88,22.5,5.31,0
5.93,19.8,22.5,5.03,0
8.03,19.72,22.5,4.79,0
7.03,19.66,22.5,4.7,0
7.03,19.57,22.5,4.63,0
7.9,19.44,22.5,4.41,0
6.05,19.37,22.5,4.24,0
7.03,19.25,22.5,4.11,0
7.04,19.22,22.5,4,0
6.9,19.12,22.5,3.79,0
8,19.06,22.5,3.72,0
8.05,18.99,22.5,3.59,0
9,18.98,22.5,3.52,0
8.03,18.89,22.5,3.33,0
5.93,18.82,22.5,3.14,0
8,18.75,22.5,2.83,0
11,18.71,22.5,2.63,0
6.06,18.63,22.5,2.46,0
10.98,18.58,22.5,2.4,0
8.03,18.52,22.5,2.26,0
6.9,18.43,22.5,2.09,0
9,18.39,22.5,1.94,0
